Job Title,Company,Location,City,Description,Flagged Terms,Sentiment
Data Scientist,Numerator,Remote in India,Remote,"We’re reinventing the market research industry. Let’s reinvent it together. At Numerator, we believe tomorrow’s success starts with today’s market intelligence. We empower the world’s leading brands and retailers with unmatched insights into consumer behavior and the influencers that drive it. Responsibilities: Deliver complex analytics projects, providing data-driven insights to address critical business challenges by analyzing disaggregated data utilizing modeling, statistics, and machine learning. Work with diverse data sets to clean, manipulate, and analyze data using tools such as R, Python, and SQL Apply a range of statistical techniques and modeling processes to transactional and attitudinal data to help answer our clients’ business questions Develop expertise in all our analytical solutions, understanding their technical intricacies and their value to clients Share analytical best practices and insights across teams to foster alignment and continuous improvement and development of advanced analytical techniques Simplify and explain complex analytical concepts in a clear and concise manner, tailoring explanations to different audiences Support the continuous improvement and development of our advanced analytical techniques and how we run them Act as an analytical expert on projects, providing advice internally to ensure that our approaches and outputs remain best-in-class There is strength in numbers - We are the Numerati Numerator is 2,000 employees strong. We have the confidence to be real and embrace what makes each Numerati unique. Our diverse experiences, ideas and backgrounds fuel our innovation. Being part of the Numerati means that we’ll take care of you! From our Recharge Days, maximum flexibility policy, wellness resources for employees and their families, development opportunities and much more — we’re always finding ways to better support, celebrate and accelerate our team. What You Can Expect from Your Intern Experience  You’ll play an active role as a member of a dynamic team of supportive and highly motivated employees and leaders. From day one, you’ll be set up for success with your NuIntern buddy, who will be a key partner throughout your internship. Numerator’s onboarding program will introduce you to your new colleagues, immerse you into our culture, and provide you with resources to thrive.  Expect to make an impact on real projects, business challenges, clients, and our global teams. Interact and engage with colleagues in person at our cool headquarters, designed to further inspire innovation, creativity, and collaboration. You'll also have the opportunity to participate in local events, Hack Days, networking, and workshops. Internship dates: June 9th to August 8th, 2025 Requirements: Education: A university degree in a mathematical, scientific, or related discipline with a strong statistical component. A higher degree in a relevant field is preferred but not required Technical Skills: Proficiency in R and Git is essential. Knowledge of SAS, SQL, Python and Shiny are desirable. Analytical Mindset: Strong interest in understanding consumer behaviour and how brands can grow through data-driven insights. Strong analytical thinking ability Data Handling: Hands-on experience in working with large datasets, performing statistical analyses, running machine learning models, and visualizing results using the R ecosystem Industry Knowledge: Experience working with panel or survey data is an advantage but not mandatory Experience working with relevant modeling techniques – clustering techniques, regression, probability modeling, and others Highly collaborative and adaptable with the ability to work effectively within different cultural and technical environments Enjoys actively looking for new and more efficient ways of improving processes, raising standards, reducing errors, and overcoming omissions Critical thinking and genuine passion for consumer behaviour. Possesses outstanding communication and interpersonal skills to comfortably connect with partners at all levels across the organization and facilitates discussions in a constructive manner Fluency in spoken and written English is mandatory. Business fluency in French highly desirable. We are an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability status, protected veteran status, or any other characteristic protected by the law. While some roles can be remote, Numerator is only able to hire in many, but not all, states and provinces. In certain cases, if you are not located in a specific area where Numerator is able to hire, you may not be eligible for employment.",supportive,Positive
Data Scientist with Machine Learning specialization,QuantumBricks,Remote,Remote,"Key Responsibilities: Design, develop, and deploy machine learning models for prediction, recommendation, anomaly detection, NLP, or image processing tasks. Work with large, complex datasets to extract insights and build scalable solutions. Collaborate with data engineers to create efficient data pipelines and feature engineering workflows. Evaluate model performance using appropriate metrics and improve models through iterative testing and tuning. Communicate findings, insights, and model outputs clearly to non-technical stakeholders. Stay up to date with the latest machine learning research, frameworks, and technologies. Required Skills: Strong programming skills in Python (Pandas, NumPy, Scikit-learn, etc.). Hands-on experience with ML/DL frameworks like TensorFlow, PyTorch, XGBoost, or LightGBM. Experience in building, deploying, and maintaining end-to-end ML models in production. Solid understanding of statistics, probability, and mathematical modeling. Proficiency with SQL and data manipulation in large-scale databases. Familiarity with version control (Git), CI/CD workflows, and model tracking tools (MLflow, DVC, etc.). Preferred Skills: Experience with cloud platforms like AWS, GCP, or Azure (e.g., SageMaker, Vertex AI). Knowledge of MLOps practices and tools for scalable ML deployments. Exposure to real-time data processing or streaming (Kafka, Spark). Experience with NLP, Computer Vision, or Time Series Forecasting. Job Types: Contractual / Temporary, Freelance Pay: ₹800,000.00 - ₹1,800,000.00 per year Benefits: Flexible schedule Work from home Schedule: Night shift UK shift US shift Work Location: Remote",,Positive
Data Scientist,Dinero Solutions,Remote,Remote,"We are conducting an interview drive for the Data Scientist position - Needed Candidates ASAP Locations: India (Work from Office): Chennai, Pune, Bangalore, Noida, Gurgaon LATAM (Remote): Open to candidates working remotely Salary Job Posting Title: Data Scientist What does a Data Scientist do? As a data scientist, you will be responsible for analyzing and interpreting complex data sets to identify patterns and insights. You will be developing data models and algorithms to support the project needs. Implement data validation strategies to ensure high data quality. Collaborate with AI/ML engineers to integrate data models into the conversion engine system. Present findings and recommendations to stakeholders and management. Not being afraid to fail fast is one of the essential tools an NL Data Scientist can have in the cutting-edge technology market. What you will do: Develop AI-Driven Data Conversion Application: Utilize AI technologies to develop a comprehensive data conversion application. Data Mapping: Implement AI algorithms for accurate data mapping from source to target. Code Generation: Automate code generation using AI models. Data Validation: Apply AI-driven validation techniques to ensure data integrity and quality. Code Conversion: Facilitate seamless code conversion using AI algorithms. Collaboration: Work with data engineers, software developers, AI solution engineers, and business analysts to integrate the data conversion application. Monitor and Troubleshoot: Continuously monitor and troubleshoot the AI-driven application to ensure optimal functionality. Documentation: Maintain detailed documentation of methodologies and processes used in the application development. Stay Updated with Technologies: Keep up-to-date with the latest AI, data science, and data conversion technologies to enhance the application. What you will need to have: Bachelor’s or Master’s Degree in Data Science, Computer Science, Artificial Intelligence, or a related field. Proficiency in Programming Languages such as Python, SQL, and other relevant languages. Experience with AI/ML Frameworks like TensorFlow, PyTorch, or similar. Knowledge of Data Mapping Techniques: Experience with AI-driven tools and methodologies for data mapping. Strong Code Generation Skills: Experience in developing AI models for automating code generation. Experience with Data Validation: Implementing AI-based validation techniques. Familiarity with Code Conversion: Understanding AI algorithms for code conversion. Experience with Databases like SQL Server and MongoDB. Collaboration Skills: Ability to work effectively with cross-functional teams. Problem-Solving Skills: Strong ability to identify issues and develop creative solutions. Attention to Detail: Ensure accuracy and reliability of data conversions. 5+ Years of Relevant Experience in data science or a related field. Willingness to Fail Fast and learn from mistakes in the fast-paced technology market. Preferred qualifications for consideration: Experience in the Financial Services Industry and an understanding of compliance standards. Certification in Data Science or AI/ML. Experience with Master data management, Data Wrangling and ETL Processes. Familiarity with DevOps Tools like Jira, Confluence, and BitBucket. Experience with data and AI/ML Technologies: Such as NLP/NLU, Azure Cognitive Services, Azure Synapse Analytics, Azure data bricks and Azure ML service. Previous Experience Delivering AI Solutions for complex data or conversions: Seamless Data Schema Conversion, AI-Driven Data Validation for Migration Accuracy, Intelligent Code Generation for Data Transformation Scripts , Historical Data Transformation and Archiving, Intelligent Error Detection and Correction, AI-Augmented Data Reconciliation Job Types: Full-time, Permanent Pay: ₹3,500,000.00 - ₹4,500,000.00 per year Benefits: Health insurance Provident Fund Work from home Schedule: Day shift US shift Supplemental Pay: Performance bonus Application Question(s): Your notice period? Your current CTC? Are you from finance domain? Experience: Data science: 10 years (Preferred) Work Location: Remote",driven,Neutral
Data Scientist,Wildnet Technologies,"Bengaluru, Karnataka",Bengaluru,"Job Title: Data Scientist Reports To: The Data Scientist will report to the Data Science Section Manager / Senior Data Scientist (7-12 years of experience). Job Overview: We are looking for Senior Data Scientist who will play an analytical role researching, designing, implementing, and deploying full-stack scalable data analytics vision and AI solutions to challenge various business issues. The ideal candidate will demonstrate deep understanding of statistical and machine learning concepts, a high standard for coding best practices, passion for pushing the team to improve their standard practices, technical skills for leveraging analytical tools to solve large scale problems and designing tools when they don't exist, technical aptitude to remain abreast with related science technologies, leadership in charting new analytical courses, and excitement to use iterative approaches to tackle long-term challenges Your goal will be to help Rakuten Mobile Inc. analyze trends to make better decisions and enable the automation of the network operations and management. Responsibilities: Deep understanding of statistical and machine learning models. Proven experience building models and placing models into production.Supporting implementation of advanced analytics in industry Resolving resolving issues at Data Platform. Strong experience on VNF, Kr8 Platforms. Experience with big data: extraction, processing, filtering, and presenting large data quantities (100K to Millions of rows) via Cloud technologies, SQL, and data pipelines. Experience in optimization problems, and solving those problems at scale · Presenting information using data visualization techniques · Identify valuable data sources and automate collection processes · Analyze large amounts of information to discover trends and patterns · Build predictive models and machine-learning algorithms · Combine models through ensemble modeling · Propose solutions and strategies to business challenges · Collaborate across different business unit and product development teams Requirements: · Strong Skills of machine-learning and AI · Strong Knowledge of Python, PySpark, SQL, Flask; familiarity with data frameworks such as Hadoop, databases (PostgreSQL, MongoDB, YugaByte), understanding of cloud-native deployments and infrastructure · Strong math / analytical skills (e.g. statistics, algebra) · Excellent communication and presentation skills · MSc/BSc/BA in Computer Science, Engineering or relevant field; graduate degree in Data Science or a quantitative field is preferred · Experience in data mining · Experience in product development Job Types: Full-time, Permanent Pay: ₹2,600,000.00 - ₹3,300,000.00 per year Benefits: Flexible schedule Health insurance Internet reimbursement Life insurance Paid sick time Paid time off Provident Fund Schedule: Day shift Monday to Friday Morning shift Experience: Data science: 7 years (Required) Work Location: In person",understanding,Positive
Data Scientist/Analyst,Sumeru,Remote,Remote,"Job Title:- Data Scientist/Data Analyst Job Location:- Remote Job Type: Full-Time Position  Position Summary We are looking for a Data Scientist or Analyst who will be working closely with other Data Scientists and Data analysts on performing detailed requirements analysis given by clients. Identifying objectives, executing complex analytical projects, and defining processes to deliver robust analytical solutions for clients.  Key Responsibilities Analyse large and complex data sets from multiple sources Develop and evaluate data analytics models, algorithms, and solutions Work on SQL, Python, Pandas Library, and Visualization Tools (Power BI / Tableau), based on the specific client problems Ensure modeling Accuracy and enhance modeling efficiency in existing processes using Machine Learning Communicating insights and helping to structure the data roadmap Respect our five core values - Client First, Excellence, Integrity, Respect, and Teamwork. Pre-requisites and skillsets required to apply for this role: Interested in working for a high-growth firm where your analysis drives important decisions. Strong communication skills enabling you to clearly communicate your thoughts/work to the client or internal teams. Certification or Experienced in (SQL, Tableau/Power BI, Python, and Machine Learning) Strong desire to constantly learn and improve your knowledge of SQL/Python/Machine Learning tools, and advanced technologies Researching and correcting issues with data loaded onto the platform Ability to estimate work effort for project sub-plans or small projects  Benefits A Competitive Salary An international work environment Exciting and energetic start-up environment with the possibility to work hybrid/remote Working with a renowned international customer base, B2B and B2C customers A chance for you to evolve, develop, feel appreciated and have fun Lots of possibilities to learn and develop yourself (certification programs supported) US Onsite work opportunities",competitive,Positive
Junior Data Scientist,DIATOZ Solutions,"Gurugram, Haryana",Gurugram,"We are seeking a highly motivated Junior Data Scientist with strong foundations in data science and machine learning, who can build scalable models and work across multiple projects under tight deadlines. This role requires excellent coding skills in Python and a passion for optimisation and automation. Experience: 2-4 Yrs Job Type: Contractual (min 6 months) Joining: Immediate joiners Key Responsibilities: Translate business needs into actionable data science models and insights. Develop optimised Python code to build scalable, efficient models. Handle automation of processes and build modular codebases for reusable components. Work across multiple projects and ensure the timely delivery of outputs. Understand and analyse clickstream data and integrate insights with CDP tools. Required Skillset: Degree in Data Science, Computer Science, Statistics, or a related field. Certification in Data Science, AI, or ML is mandatory. Strong understanding of core AI/ML/statistical concepts and model building. Proficient in SQL, Snowflake, and data engineering practices. Experience in handling CDP tools and clickstream data analysis. Exposure to Gen AI, LLMs, or Multi-Agentic solutions is a plus. Job Type: Contractual / Temporary Contract length: 6 months Pay: ₹60,000.00 - ₹100,000.00 per month Schedule: Day shift Ability to commute/relocate: Gurugram, Haryana: Reliably commute or planning to relocate before starting work (Required) Application Question(s): Are you an immediate joiner? Experience: Data science: 2 years (Required) Location: Gurugram, Haryana (Required) Work Location: In person",,Neutral
Data Scientist,Predigle-An Esper Group Company,Remote,Remote,"As part of our new AI team, you will have the opportunity to work on real-world AI applications, contribute to innovative NLP solutions, and gain hands-on experience in building AI-driven products from the ground up. Responsibilities: · Assist in designing, training, and optimizing ML/NLP models using PyTorch, NLTK, Scikit-learn, and Transformer models (BERT, GPT, etc.). · Help deploy AI/ML solutions on AWS, GCP, or Azure. · Collaborate with engineers to integrate AI models into production systems. · Use SQL and Python to clean, preprocess, and analyze large datasets. · Stay updated with the latest advancements in NLP, AI, and ML frameworks. Required Skills & Qualifications: · Strong experience in Python programming. · 1-3 years of experience in Data Science/NLP (Freshers with strong NLP projects are welcome). · Proficiency in Python, PyTorch, Scikit-learn, and NLP libraries (NLTK, SpaCy, Hugging Face). · Basic knowledge of cloud platforms (AWS, GCP, or Azure). · Experience with SQL for data manipulation and analysis. · Familiarity with MLOps tools like Airflow, MLflow, or similar. · Experience with Big Data processing (Spark, Pandas, or Dask). · Mandatory experience in GenAI-Langchain & Langgraph. · Strong analytical and problem-solving skills. · Willingness to learn, experiment, and take ownership in a fast-paced startup environment. · Critical and analytical thinking skills, with a keen attention to detail. · Demonstrate ownership and strive for excellence in everything you do. · Demonstrate a high level of curiosity and keep abreast of the latest technologies & tools. · Ability to pick up new software easily and represent yourself to peers and coordinate during meetings with customers. Nice to Have Requirements: · Desire to grow within the company. · Team player and quick learner. · Performance-driven. · Strong networking and outreach skills. · Exploring aptitude & killer attitude. · Ability to communicate and collaborate with the team with ease. · Drive to get results and not let anything get in your way. Job Type: Full-time Pay: ₹500,000.00 - ₹1,000,000.00 per year Benefits: Flexible schedule Health insurance Provident Fund Work from home Schedule: Day shift Monday to Friday Work Location: Remote",,Positive
Data Scientist,Agnik,India,India,"Position: Data Scientist (Intern) Status: Open AGNIK is hiring a Data Science Intern with some background in the following areas and strong motivation. Candidates must have: 1) Familiarity with Machine Learning, Data Mining, Statistics, and Signal Processing 2) Some Experience in Programming in C++/Java/Distributed Programming 3) Pursuing a Degree in Electrical Engineering, Math, Physics, Statistics Positions do not require US citizenship but the candidates should be authorized to work in the United States. If you are interested, please send resume to jobs@agnik.com with ""Application for Data Science Intern"" in the Subject line.",,Neutral
Data Scientist,Futuremug,Remote,Remote,"Full-Time Experience - 3 - 5 Years Location: Remote-Home Location (Preferably from Thenkasi/Theni/Tirunelveli) We are looking for a talented and experienced Data Scientist to join our dynamic team. As a Data Scientist, you will leverage your analytical skills and expertise in machine learning to extract insights from complex datasets and drive data-driven decision-making across our projects. You will collaborate closely with cross-functional teams to develop predictive models, uncover actionable insights, and solve challenging business problems. Responsibilities • Data Analysis and Exploration o Analyze large, complex datasets to identify trends, patterns, and relationships. o Conduct exploratory data analysis (EDA) to gain insights and formulate hypotheses. o Utilize statistical methods and data visualization techniques to communicate findings effectively. • Predictive Modeling and Machine Learning o Handson experience in analyzing and developing forecasting models using timeseries data o Develop and deploy predictive models using machine learning algorithms. o Perform feature engineering, model selection, and hyperparameter tuning to optimize model performance. o Ensure that model always meet the relevant evaluation metrics. • Data Mining and Pattern Recognition o Apply data mining techniques to extract actionable insights from structured and unstructured data. o Identify patterns and anomalies in data to detect fraud, predict customer behavior, or optimize business processes. o Implement clustering, classification, regression, and other machine learning algorithms as needed. • Experimentation and A/B Testing o Design and conduct experiments to test hypotheses and validate model Implement A/B testing frameworks to evaluate the impact of changes and interventions. o Analyze experimental results and provide recommendations for further optimization. • Collaboration and Communication o Excellent story telling and presentation skills o Collaborate with cross-functional teams, including engineers, product managers, and business stakeholders. o Translate technical findings into actionable insights and recommendations for non-technical audiences. o Present findings and proposals in clear, concise, and compelling ways. Requirements • Bachelors or Masters in Computer Science or Statistics. • 3 to 5 years of proven experience in data science, machine learning, or predictive analytics roles. • Working knowledge in azure cloud platform is preffered • Proficiency in programming languages commonly used in data science (e.g., Python etc). • Strong understanding of statistical analysis, hypothesis testing, and experimental design. • Experience with machine learning libraries and frameworks (e.g., TensorFlow, scikit- learn, PyTorch, etc.). • Familiarity with data visualization tools and techniques (e.g., Matplotlib etc.). • Excellent problem-solving and analytical skills with attention to detail. • Effective communication and collaboration abilities in a team environment. • Ability to manage multiple projects and prioritize tasks effectively. Benefits: • Work from home location/Not home • Competitive salary and benefits. Opportunities for high-speed professional growth and development. • Collaborative and supportive work environment. • Medical insurance • OP Allowance Statutory Benefits like PF, ESI, LWF, Gratuity • Training (Technical & Soft skills) Send cv : gopikafm17@gmail.com Job Types: Full-time, Permanent Pay: From ₹60,000.00 per month Schedule: Day shift Work Location: Remote","competitive, supportive",Positive
Data Scientist,Aviato Consulting,Remote,Remote,"Data Scientist ( 5 Plus Years Experience ) Remote, India At Aviato Consulting, you'll be at the forefront of innovation, building and deploying impactful AI solutions for some of Australia's largest enterprises. As a Data Scientist, you'll leverage the power of Google Cloud and collaborative environments like Colab notebooks to develop, train, and optimize machine learning models that drive real business outcomes. You'll be a key player in shaping our data science practice, working with diverse datasets, and directly contributing to our clients' success and our company's growth. What Experience is Mandatory: Proven Data Science Expertise: Demonstrated experience in applying machine learning techniques, statistical modeling, and predictive analytics to solve complex business problems. Google Cloud Platform (GCP) Proficiency: Hands-on experience with key GCP services relevant to data science, such as Vertex AI (for model training and deployment), BigQuery (for data warehousing), Cloud Storage, and Dataflow. Model Training and Optimization: Strong background in the end-to-end lifecycle of machine learning models, including data preprocessing, feature engineering, model selection, training, evaluation, and hyperparameter tuning. Python and Notebook Environments: Expert-level proficiency in Python for data manipulation, statistical analysis, and machine learning, with extensive experience using interactive environments like Jupyter or Google Colab notebooks for development and collaboration. Working with Large Datasets: Experience handling, processing, and deriving insights from large and complex datasets, understanding data governance and security best practices. Client-Facing Experience: Previous experience working directly with clients to understand requirements, present findings, and provide technical guidance. What Experience is Beneficial (but Optional): MLOps Practices: Familiarity with MLOps principles and tools for automating and streamlining the machine learning lifecycle, including CI/CD for models. Deep Learning Frameworks: Experience with deep learning frameworks such as TensorFlow or PyTorch. Data Visualization Tools: Proficiency with data visualization libraries or tools (e.g., Matplotlib, Seaborn, Looker) to communicate insights effectively. What We Offer: Impactful Work & Ownership: You'll work on high-impact projects for large Australian clients, with significant autonomy and the opportunity to see your work directly influence business decisions. Culture Built for Growth: Join a company founded by Ex-Googlers, fostering a culture of innovation, continuous learning, and collaboration, where your ideas are valued. Shared Success: Become a part-owner of Aviato with an Employee Share Ownership Plan (ESOP) after 6 months, aligning your success with ours. Rewarding Performance: Benefit from an annual bonus structure that recognizes your contributions and achievements. True Flexibility: Enjoy the freedom of a fully remote work environment, allowing you to work from where you're most productive. Certified Excellence: Be part of a ""Great Place to Work"" certified organization, reflecting our commitment to a positive and supportive employee experience. Continuous Learning: We invest in your professional development, providing resources and opportunities to expand your skills and stay at the cutting edge of data science and Google Cloud technologies. Job Type: Full-time Pay: ₹1,200,000.00 - ₹1,500,000.00 per year Benefits: Health insurance Paid time off Schedule: Day shift Monday to Friday Application Question(s): Do you have over 5 years of hands-on experience working in a Data Scientist role ? Work Location: Remote Application Deadline: 19/06/2025",supportive,Positive
